Subject,Left Comparison Type,Right Comparison Type,Correct Side,Chosen Side
2,4,0,1.0,1.0
2,4,many,0.0,0.0
2,many,0,1.0,1.0
2,2,many,0.0,0.0
2,68,2,1.0,1.0
2,0,2,0.0,0.0
2,2,16,0.0,0.0
2,0,16,0.0,0.0
2,68,16,1.0,0.0
2,4,2,1.0,0.0
2,4,68,0.0,1.0
2,4,16,0.0,0.0
2,0,68,0.0,0.0
2,many,68,1.0,1.0
2,16,many,0.0,0.0
2,4,2,1.0,1.0
2,many,4,1.0,1.0
2,68,0,1.0,1.0
2,4,16,0.0,0.0
2,many,2,1.0,1.0
2,many,16,1.0,1.0
2,many,0,1.0,0.0
2,2,0,1.0,1.0
2,16,68,0.0,0.0
2,0,16,0.0,0.0
2,4,68,0.0,0.0
2,0,4,0.0,1.0
2,68,many,0.0,1.0
2,2,16,0.0,1.0
2,68,2,1.0,0.0
2,0,many,0.0,0.0
2,0,16,0.0,0.0
2,4,2,1.0,1.0
2,16,many,0.0,0.0
2,68,4,1.0,1.0
2,68,16,1.0,1.0
2,0,2,0.0,1.0
2,0,4,0.0,0.0
2,68,2,1.0,1.0
2,4,16,0.0,1.0
2,many,68,1.0,1.0
2,many,2,1.0,0.0
2,16,2,1.0,1.0
2,many,4,1.0,0.0
2,68,0,1.0,1.0
2,2,68,0.0,1.0
2,0,many,0.0,0.0
2,4,0,1.0,1.0
2,many,16,1.0,1.0
2,2,many,0.0,1.0
2,4,2,1.0,1.0
2,2,16,0.0,1.0
2,many,68,1.0,0.0
2,0,16,0.0,0.0
2,68,0,1.0,1.0
2,4,many,0.0,0.0
2,4,68,0.0,1.0
2,4,16,0.0,0.0
2,2,0,1.0,1.0
2,16,68,0.0,1.0
2,16,68,0.0,0.0
2,0,many,0.0,0.0
2,4,2,1.0,1.0
2,2,0,1.0,0.0
2,16,many,0.0,1.0
2,2,16,0.0,0.0
2,many,68,1.0,1.0
2,4,16,0.0,1.0
2,0,4,0.0,0.0
2,4,many,0.0,0.0
2,68,0,1.0,1.0
2,16,0,1.0,1.0
2,68,4,1.0,0.0
2,2,68,0.0,1.0
2,2,many,0.0,1.0
2,0,4,0.0,1.0
2,2,4,0.0,1.0
2,2,16,0.0,1.0
2,2,0,1.0,0.0
2,68,4,1.0,1.0
2,many,16,1.0,1.0
2,many,4,1.0,1.0
2,68,2,1.0,0.0
2,many,0,1.0,1.0
2,many,68,1.0,1.0
2,16,4,1.0,0.0
2,2,many,0.0,0.0
2,16,0,1.0,1.0
2,68,16,1.0,0.0
2,68,0,1.0,1.0
2,16,2,1.0,1.0
2,68,2,1.0,0.0
2,0,2,0.0,0.0
2,0,16,0.0,0.0
2,many,0,1.0,1.0
2,68,many,0.0,0.0
2,many,2,1.0,1.0
2,many,16,1.0,0.0
2,many,4,1.0,1.0
2,68,0,1.0,1.0
2,4,16,0.0,1.0
2,68,16,1.0,0.0
2,4,2,1.0,1.0
2,0,4,0.0,1.0
2,4,68,0.0,0.0
2,4,2,1.0,1.0
2,16,2,1.0,0.0
2,4,many,0.0,1.0
2,16,68,0.0,0.0
2,many,0,1.0,1.0
2,4,68,0.0,0.0
2,many,2,1.0,1.0
2,0,4,0.0,0.0
2,2,0,1.0,1.0
2,0,68,0.0,0.0
2,0,16,0.0,0.0
2,68,2,1.0,1.0
2,16,4,1.0,0.0
2,many,68,1.0,1.0
2,many,16,1.0,1.0
2,68,2,1.0,1.0
2,0,2,0.0,1.0
2,2,4,0.0,1.0
2,0,16,0.0,0.0
2,many,4,1.0,1.0
2,many,16,1.0,0.0
2,16,4,1.0,1.0
2,0,4,0.0,0.0
2,many,2,1.0,0.0
2,68,many,0.0,0.0
2,68,4,1.0,0.0
2,0,68,0.0,0.0
2,0,many,0.0,0.0
2,16,68,0.0,1.0
2,2,16,0.0,1.0
2,4,0,1.0,0.0
2,2,0,1.0,1.0
2,many,2,1.0,0.0
2,68,4,1.0,1.0
